accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
"ERR16025234, ERR16025281","ERR16025234, ERR16025281",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025234,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025235, ERR16025263","ERR16025235, ERR16025263",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025235,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025236, ERR16025276","ERR16025236, ERR16025276",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025236,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025239, ERR16025252, ERR16025301, ERR16025303","ERR16025239, ERR16025252, ERR16025301, ERR16025303",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025239,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025241, ERR16025257","ERR16025241, ERR16025257",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025241,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025242, ERR16025265","ERR16025242, ERR16025265",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025242,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025243, ERR16025292","ERR16025243, ERR16025292",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025243,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025244, ERR16025253","ERR16025244, ERR16025253",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025244,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025245, ERR16025273, ERR16025293, ERR16025300","ERR16025245, ERR16025273, ERR16025293, ERR16025300",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025245,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025246, ERR16025284","ERR16025246, ERR16025284",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025246,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025247, ERR16025251","ERR16025247, ERR16025251",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025247,auto-collected from public metadata; sample_size from BioSample accessions
