accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
SRR39044419,SRR39044419,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044419,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044420,SRR39044420,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044420,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044421,SRR39044421,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044421,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044425,SRR39044425,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044425,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044426,SRR39044426,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044426,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044427,SRR39044427,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044427,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044428,SRR39044428,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044428,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044429,SRR39044429,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044429,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044430,SRR39044430,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044430,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044431,SRR39044431,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044431,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044432,SRR39044432,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044432,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044433,SRR39044433,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044433,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044434,SRR39044434,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044434,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044435,SRR39044435,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044435,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044436,SRR39044436,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044436,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044437,SRR39044437,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044437,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044439,SRR39044439,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044439,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044440,SRR39044440,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044440,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044441,SRR39044441,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044441,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044442,SRR39044442,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044442,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044443,SRR39044443,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044443,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044444,SRR39044444,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044444,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044445,SRR39044445,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044445,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044446,SRR39044446,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044446,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044447,SRR39044447,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044447,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044448,SRR39044448,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044448,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044449,SRR39044449,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044449,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044452,SRR39044452,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-11,2026-06-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044452,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218040,SRR39218040,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218040,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218041,SRR39218041,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218041,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218042,SRR39218042,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218042,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218043,SRR39218043,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218043,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218044,SRR39218044,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218044,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218045,SRR39218045,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218045,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660952,SRR39660952,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660952,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660953,SRR39660953,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660953,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660954,SRR39660954,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660954,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660955,SRR39660955,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660955,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660956,SRR39660956,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660956,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660957,SRR39660957,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660957,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660958,SRR39660958,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660958,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660959,SRR39660959,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660959,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660960,SRR39660960,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660960,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660961,SRR39660961,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660961,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660962,SRR39660962,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660962,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660963,SRR39660963,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660963,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660964,SRR39660964,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660964,auto-collected from public metadata; sample_size from BioSample accessions
SRR39660965,SRR39660965,IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39660965,auto-collected from public metadata; sample_size from BioSample accessions
SRR40042013,SRR40042013,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40042013,auto-collected from public metadata; sample_size from BioSample accessions
SRR40134433,SRR40134433,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40134433,auto-collected from public metadata; sample_size from BioSample accessions
SRR40134434,SRR40134434,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40134434,auto-collected from public metadata; sample_size from BioSample accessions
SRR40134435,SRR40134435,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40134435,auto-collected from public metadata; sample_size from BioSample accessions
SRR40134436,SRR40134436,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40134436,auto-collected from public metadata; sample_size from BioSample accessions
SRR40134437,SRR40134437,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40134437,auto-collected from public metadata; sample_size from BioSample accessions
SRR40134438,SRR40134438,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40134438,auto-collected from public metadata; sample_size from BioSample accessions
SRR40134439,SRR40134439,SLE / Lupus nephritis,NCBI SRA,spatial transcriptomics,,,no,no,unknown,1,45,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR40134439,auto-collected from public metadata; sample_size from BioSample accessions
